0.1854634,,0.110084926,,25
0.118643744,,0.110354781,,19
0.140693089,,0.110472835,,31
0.15664583,,0.110644908,,13
0.158755525,,0.118643744,,2
0.148864264,,0.129102703,,8
0.186928725,,0.140693089,,3
0.129102703,,0.148864264,,6
0.157902709,,0.149364572,,30
0.172599781,,0.15664583,,4
0.182658804,,0.157902709,,9
0.172957739,,0.158755525,,5
0.110644908,,0.159595307,,24
0.174655481,,0.164170821,,26
0.195481896,,0.167833335,,20
0.210562944,,0.170220041,,29
0.214114739,,0.172599781,,10
0.20443639,,0.172957739,,12
0.110354781,,0.174517141,,32
0.167833335,,0.174655481,,14
0.182142511,,0.177495956,,27
0.186237638,,0.178448471,,28
0.18027586,,0.18027586,,23
0.159595307,,0.182142511,,21
0.110084926,,0.182658804,,11
0.164170821,,0.1854634,,1
0.177495956,,0.186237638,,22
0.178448471,,0.186928725,,7
0.170220041,,0.192565576,,36
0.149364572,,0.195481896,,15
0.110472835,,0.197401409,,33
0.174517141,,0.20443639,,18
0.197401409,,0.208113731,,35
0.21004219,,0.21004219,,34
0.208113731,,0.210562944,,16
0.192565576,,0.214114739,,17
